#,MASTER_ACCOUNT,login_count_1M,login_count_2M,login_count_3M,login_count_6M
1,000009,4,10,18,39
2,000011,0,0,0,3
3,000012,11,21,26,52
4,000014,8,9,13,20
5,000016,23,46,70,129
6,000020,22,43,65,125
7,000021,5,12,23,58
8,000024,7,12,22,55
9,000026,22,46,70,130
10,000028,0,1,2,3
11,000031,7,29,42,78
12,000033,20,42,65,121
13,000036,24,49,73,136
14,000039,2,2,6,21
15,000041,26,48,74,138
16,000042,0,2,5,28
17,000044,0,0,1,15
18,000045,22,45,68,114
19,000046,15,20,26,44
20,000049,12,31,53,77
21,000051,17,27,48,106
22,000055,23,45,68,130
23,000076,24,46,68,128
24,000080,0,1,1,1
25,000086,3,3,3,11
26,000095,24,49,73,139
27,000103,5,25,47,102
28,000111,1,1,3,15
29,000127,15,22,28,67
30,000129,20,37,60,117
31,000133,3,5,16,33
32,000135,18,35,57,123
33,000191,24,46,70,131
34,000203,2,6,26,39
35,000216,23,48,71,138
36,000223,22,45,68,128
37,000225,2,3,6,9
38,000232,0,4,9,39
39,000239,25,50,74,135
40,000243,22,44,67,126
41,000247,30,32,32,77
42,000270,0,3,25,35
43,000282,4,7,12,30
44,000305,0,0,1,2
45,000315,9,17,28,49
46,000333,21,43,63,121
47,000435,1,1,1,1
48,000476,3,10,15,25
49,000489,25,48,73,134
50,000514,0,0,0,4
51,000520,22,44,67,127
52,000523,1,2,13,29
53,000524,17,37,60,120
54,000559,3,4,6,20
55,000576,0,0,0,1
56,000587,11,20,39,69
57,000598,6,11,13,25
58,000615,19,40,63,121
59,000617,20,36,57,118
60,000625,6,9,15,46
61,000639,17,39,60,119
62,000649,4,6,7,36
63,000652,0,4,5,34
64,000656,10,13,17,29
65,000661,22,39,59,105
66,000673,22,44,67,126
67,000674,0,1,3,13
68,000679,0,0,0,2
69,000696,0,0,0,1
70,000701,5,7,12,32
71,000702,24,48,72,134
72,000704,21,43,67,126
73,000705,0,0,0,3
74,000707,22,41,65,125
75,000708,23,45,68,124
76,000709,27,49,74,140
77,000712,11,18,31,63
78,000713,0,0,0,1
79,000728,0,0,0,4
80,000729,18,27,42,68
81,000730,12,29,43,96
82,000745,16,29,45,102
83,000755,21,40,59,117
84,000761,1,1,2,4
85,000767,9,24,38,77
86,000768,1,1,5,6
87,000769,9,27,47,90
88,000783,1,3,6,10
89,000784,12,23,26,44
90,000792,7,8,12,25
91,000793,0,0,0,2
92,000798,0,0,1,2
93,000800,0,3,5,19
94,000807,9,20,33,64
95,000831,1,5,10,21
96,000835,0,0,0,6
97,000847,14,18,22,58
98,000855,0,0,1,1
99,000866,26,52,80,147
100,000868,22,45,68,79
101,000871,18,40,63,121
102,000872,4,9,12,18
103,000906,3,13,35,75
104,000907,1,1,1,4
105,000913,0,0,0,1
106,000919,24,48,74,138
107,000921,2,9,10,20
108,000926,26,51,80,111
109,000927,17,34,49,107
110,000959,23,46,68,128
111,000973,21,43,66,125
112,000982,22,45,68,129
113,000988,23,41,65,129
114,000989,1,1,2,3
115,000994,12,17,33,49
116,000995,5,8,8,18
117,001009,23,48,71,107
118,001012,22,44,67,125
119,001025,21,44,69,133
120,001026,16,34,54,59
121,001032,1,3,10,24
